claim_id,policy_id,date_of_loss,date_reported,cause_of_loss,claim_status,is_catastrophe_flag,storm_id,reported_severity,settlement_date
CLM-000001,GC-000931,2021-03-15,2021-03-21,Fire,Closed,N,,8689.85,2021-05-27
CLM-000002,GC-003769,2021-04-22,2021-04-28,Vandalism,Closed,N,,858.4,2021-05-04
CLM-000003,GC-001968,2021-05-19,2021-05-20,Liability,Closed,N,,10464.68,2021-06-04
CLM-000004,GC-000149,2021-05-30,2021-05-30,Fire,Closed,N,,25062.11,2021-07-03
CLM-000005,GC-001462,2021-06-01,2021-06-06,Liability,Closed,N,,13536.78,2021-06-27
CLM-000006,GC-001965,2021-06-26,2021-06-28,Water Damage (Non-Storm),Closed,N,,8986.44,2021-07-17
CLM-000007,GC-004808,2021-07-13,2021-07-15,Water Damage (Non-Storm),Closed,N,,7683.8,2021-08-03
CLM-000008,GC-004123,2021-07-15,2021-07-22,Liability,Closed,N,,1256.54,2021-07-31
CLM-000009,GC-004288,2021-07-17,2021-07-17,Theft,Closed,N,,120394.23,2021-08-05
CLM-000010,GC-001766,2021-07-21,2021-07-24,Liability,Closed,N,,10217.2,2021-09-23
CLM-000011,GC-000956,2021-07-28,2021-08-04,Other Weather,Closed,N,,6032.18,2021-08-25
CLM-000012,GC-000817,2021-07-31,2021-08-02,Other Weather,Closed,N,,12117.29,2021-08-09
CLM-000013,GC-003514,2021-07-31,2021-08-01,Liability,Closed,N,,1471.8,2021-08-11
CLM-000014,GC-000218,2021-08-25,2021-08-27,Theft,Closed,N,,6964.11,2021-09-07
CLM-000015,GC-004359,2021-08-26,2021-08-27,Other Weather,Closed,N,,21702.93,2021-09-12
CLM-000016,GC-001549,2021-08-29,2021-08-29,Vandalism,Closed,N,,11105.67,2021-09-22
CLM-000017,GC-001055,2021-09-19,2021-09-22,Theft,Closed,N,,7102.43,2021-10-22
CLM-000018,GC-001416,2021-09-22,2021-09-28,Vandalism,Closed,N,,6881.3,2021-11-05
CLM-000019,GC-004669,2021-09-22,2021-10-04,Other Weather,Closed,N,,11304.75,2021-10-04
CLM-000020,GC-003330,2021-09-23,2021-09-29,Falling Tree (Non-Storm),Closed,N,,9752.11,2021-11-26
CLM-000021,GC-003687,2021-09-24,2021-10-04,Other Weather,Closed,N,,3570.88,2021-10-04
CLM-000022,GC-001247,2021-09-25,2021-09-26,Fire,Open,N,,18866.91,
CLM-000023,GC-002924,2021-10-03,2021-10-05,Other Weather,Closed,N,,4760.67,2021-10-25
CLM-000024,GC-001803,2021-10-06,2021-10-12,Liability,Closed,N,,14116.2,2021-10-11
CLM-000025,GC-000114,2021-10-21,2021-10-29,Theft,Closed,N,,14783.68,2021-11-12
CLM-000026,GC-000096,2021-10-24,2021-11-04,Vandalism,Closed,N,,4119.14,2021-11-18
CLM-000027,GC-000916,2021-10-25,2021-11-01,Other Weather,Closed,N,,3069.89,2021-12-18
CLM-000028,GC-001885,2021-11-06,2021-11-07,Other Weather,Closed,N,,36902.75,2022-01-02
CLM-000029,GC-001541,2021-11-22,2021-11-27,Vandalism,Closed,N,,15727.84,2022-02-02
CLM-000030,GC-000405,2021-12-03,2021-12-07,Other Weather,Closed,N,,4780.17,2021-12-08
CLM-000031,GC-003415,2021-12-06,2021-12-06,Vandalism,Closed,N,,679.1,2021-12-31
CLM-000032,GC-000495,2021-12-07,2021-12-07,Fire,Closed,N,,38219.99,2022-01-06
CLM-000033,GC-002674,2021-12-11,2021-12-11,Other Weather,Closed,N,,13446.46,2021-12-13
CLM-000034,GC-003257,2021-12-13,2021-12-14,Vandalism,Closed,N,,9187.85,2021-12-20
