storm_id,storm_name,observation_datetime,latitude,longitude,max_sustained_wind_mph,central_pressure_mb,storm_category,is_landfall
MARISOL2026,Marisol,2026-07-13,21.94,-87.99,38.4,998.6,Tropical Depression,N
MARISOL2026,Marisol,2026-07-13,22.28,-88.02,41.1,996.3,Tropical Storm,N
MARISOL2026,Marisol,2026-07-13,22.51,-88.11,49.1,989.5,Tropical Storm,N
MARISOL2026,Marisol,2026-07-13,22.62,-88.28,56.8,,Tropical Storm,N
MARISOL2026,Marisol,2026-07-14,22.89,-88.35,61.4,,Tropical Storm,N
MARISOL2026,Marisol,2026-07-14,23.05,-88.42,70.0,971.7,Tropical Storm,N
MARISOL2026,Marisol,2026-07-14,23.3,-88.56,70.0,,Tropical Storm,N
MARISOL2026,Marisol,2026-07-14,23.44,-88.73,72.5,969.6,Tropical Storm,N
MARISOL2026,Marisol,2026-07-15,23.61,-88.7,84.0,959.8,Category 1,N
MARISOL2026,Marisol,2026-07-15,23.81,-88.78,89.2,955.4,Category 1,N
MARISOL2026,Marisol,2026-07-15,24.13,-88.89,92.7,952.4,Category 1,N
MARISOL2026,Marisol,2026-07-15,24.44,-89.05,99.7,946.5,Category 2,N
MARISOL2026,Marisol,2026-07-16,24.55,-89.11,101.0,945.4,Category 2,N
MARISOL2026,Marisol,2026-07-16,24.72,-89.22,104.5,942.4,Category 2,N
MARISOL2026,Marisol,2026-07-16,25.06,-89.29,109.5,938.2,Category 2,N
MARISOL2026,Marisol,2026-07-16,25.18,-89.31,112.1,936.0,Category 3,N
MARISOL2026,Marisol,2026-07-17,25.39,-89.39,121.1,928.3,Category 3,N
MARISOL2026,Marisol,2026-07-17,25.61,-89.52,125.2,924.8,Category 3,N
MARISOL2026,Marisol,2026-07-17,25.8,-89.62,130.5,920.3,Category 4,N
MARISOL2026,Marisol,2026-07-17,26.0,-89.7,131.9,919.1,Category 4,N
MARISOL2026,Marisol,2026-07-18,26.16,-89.83,138.3,913.7,Category 4,Y
MARISOL2026,Marisol,2026-07-18,26.47,-89.92,128.6,921.9,Category 3,N
MARISOL2026,Marisol,2026-07-18,26.65,-90.05,120.9,928.5,Category 3,N
MARISOL2026,Marisol,2026-07-18,26.92,-90.11,119.1,930.1,Category 3,N
MARISOL2026,Marisol,2026-07-19,27.06,-90.08,114.9,933.6,Category 3,N
MARISOL2026,Marisol,2026-07-19,27.19,-90.24,104.2,942.6,Category 2,N
MARISOL2026,Marisol,2026-07-19,27.49,-90.39,98.5,947.5,Category 2,N
MARISOL2026,Marisol,2026-07-19,27.79,-90.49,86.9,957.4,Category 1,N
MARISOL2026,Marisol,2026-07-20,27.9,-90.6,85.7,958.4,Category 1,N
MARISOL2026,Marisol,2026-07-20,28.09,-90.63,74.9,967.6,Category 1,N
MARISOL2026,Marisol,2026-07-20,28.28,-90.72,66.4,974.8,Tropical Storm,N
MARISOL2026,Marisol,2026-07-20,28.5,-90.91,62.1,978.4,Tropical Storm,N
MARISOL2026,Marisol,2026-07-21,28.75,-90.9,56.7,,Tropical Storm,N
MARISOL2026,Marisol,2026-07-21,28.92,-91.05,51.1,987.8,Tropical Storm,N
MARISOL2026,Marisol,2026-07-21,29.26,-91.04,35.9,,Tropical Depression,N
MARISOL2026,Marisol,2026-07-21,29.39,-91.19,28.7,,Tropical Depression,N
