date,region,cpi_index,construction_cost_index,wage_index
2021-01-01,Belmara County,100.18,100.46,100.27
2021-02-01,Belmara County,100.43,100.72,100.48
2021-03-01,Belmara County,100.45,101.07,100.72
2021-04-01,Belmara County,100.82,101.66,101.03
2021-05-01,Belmara County,101.05,101.88,101.36
2021-06-01,Belmara County,101.33,102.35,101.83
2021-07-01,Belmara County,101.49,102.73,102.14
2021-08-01,Belmara County,101.73,103.06,102.33
2021-09-01,Belmara County,102.12,103.64,102.85
2021-10-01,Belmara County,102.47,103.94,103.15
2021-11-01,Belmara County,102.94,104.08,103.47
2021-12-01,Belmara County,103.36,104.57,103.81
2022-01-01,Belmara County,103.74,104.93,104.15
2022-02-01,Belmara County,104.05,105.43,104.5
2022-03-01,Belmara County,104.32,106.07,104.9
2022-04-01,Belmara County,104.57,106.35,105.08
2022-05-01,Belmara County,104.75,106.55,105.55
2022-06-01,Belmara County,105.08,107.23,105.85
2022-07-01,Belmara County,105.38,107.8,106.05
2022-08-01,Belmara County,105.65,107.97,106.38
2022-09-01,Belmara County,105.79,108.44,106.66
2022-10-01,Belmara County,106.11,109.26,106.88
2022-11-01,Belmara County,106.26,109.11,107.07
2022-12-01,Belmara County,106.78,109.64,107.16
2023-01-01,Belmara County,107.19,109.9,107.35
2023-02-01,Belmara County,107.46,110.57,107.73
2023-03-01,Belmara County,107.89,111.16,107.98
2023-04-01,Belmara County,108.32,111.44,108.43
2023-05-01,Belmara County,108.67,111.51,108.74
2023-06-01,Belmara County,108.91,111.96,108.98
2023-07-01,Belmara County,109.02,112.28,109.29
2023-08-01,Belmara County,109.4,112.85,109.46
2023-09-01,Belmara County,109.44,113.25,109.7
2023-10-01,Belmara County,109.93,114.03,109.81
2023-11-01,Belmara County,110.04,114.29,110.07
2023-12-01,Belmara County,110.46,114.71,110.51
2024-01-01,Belmara County,110.86,115.04,110.87
2024-02-01,Belmara County,111.04,115.44,111.14
2024-03-01,Belmara County,111.25,115.74,111.61
2024-04-01,Belmara County,111.61,116.39,111.95
2024-05-01,Belmara County,111.89,116.48,112.36
2024-06-01,Belmara County,112.28,116.68,112.61
2024-07-01,Belmara County,112.48,117.2,112.87
2024-08-01,Belmara County,112.83,117.7,113.05
2024-09-01,Belmara County,113.22,118.1,113.18
2024-10-01,Belmara County,113.39,118.57,113.44
2024-11-01,Belmara County,113.74,118.81,113.74
2024-12-01,Belmara County,114.09,119.15,114.11
2025-01-01,Belmara County,114.35,119.45,114.1
2025-02-01,Belmara County,114.55,119.79,114.45
2025-03-01,Belmara County,114.9,120.69,114.77
2025-04-01,Belmara County,115.36,121.2,115.09
2025-05-01,Belmara County,115.72,121.74,115.36
2025-06-01,Belmara County,116.08,122.13,115.67
2025-07-01,Belmara County,116.32,122.49,115.87
2025-08-01,Belmara County,116.74,122.53,115.93
2025-09-01,Belmara County,116.89,123.04,116.23
2025-10-01,Belmara County,117.33,123.34,116.45
2025-11-01,Belmara County,117.7,123.62,116.66
2025-12-01,Belmara County,118.03,124.06,116.9
2026-01-01,Belmara County,118.39,124.61,117.23
2026-02-01,Belmara County,118.76,125.27,117.33
2026-03-01,Belmara County,119.0,125.79,117.55
2026-04-01,Belmara County,119.19,125.69,117.93
2026-05-01,Belmara County,119.33,126.2,118.04
2026-06-01,Belmara County,119.39,126.63,118.38
2026-07-01,Belmara County,119.84,129.96,118.64
2026-08-01,Belmara County,120.2,132.45,119.09
