claim_id,repair_category,estimated_cost,actual_cost,cost_date
CLM-000001,Plumbing,11178.77,13167.26,2021-05-27
CLM-000002,Electrical,659.76,740.92,2021-05-04
CLM-000004,Contents,25853.55,26154.24,2021-07-03
CLM-000006,Contents,8860.38,10163.16,2021-07-17
CLM-000007,Electrical,8403.41,9750.02,2021-08-03
CLM-000011,Electrical,7296.45,7100.78,2021-08-25
CLM-000012,Structural,12311.91,11237.27,2021-08-09
CLM-000015,Electrical,15558.62,13867.81,2021-09-12
CLM-000016,Structural,11302.81,11333.97,2021-09-22
CLM-000018,Roof,5609.9,6332.75,2021-11-05
CLM-000019,Roof,13920.75,15723.83,2021-10-04
CLM-000021,Structural,3090.1,3035.91,2021-10-04
CLM-000022,Roof,13360.92,,
CLM-000023,Contents,4133.61,4579.42,2021-10-25
CLM-000026,Electrical,3952.55,4133.87,2021-11-18
CLM-000027,Structural,2661.13,2700.64,2021-12-18
CLM-000028,Structural,39060.16,38747.78,2022-01-02
CLM-000029,Contents,14961.74,17077.61,2022-02-02
CLM-000030,Plumbing,4366.81,4727.71,2021-12-08
CLM-000031,Contents,738.85,834.97,2021-12-31
CLM-000032,Roof,27851.57,25367.44,2022-01-06
CLM-000033,Electrical,17396.04,20289.69,2021-12-13
CLM-000034,Contents,11803.33,11331.7,2021-12-20
CLM-000035,Plumbing,4470.84,4264.44,2021-12-30
CLM-000036,Roof,6106.4,6342.09,2022-01-17
CLM-000037,Contents,3624.03,3598.2,2022-01-08
CLM-000038,Contents,2727.5,2498.78,2022-01-01
CLM-000040,Roof,2518.28,2326.19,2022-01-28
CLM-000041,Roof,5879.94,5626.65,2022-02-06
CLM-000042,Structural,1190.54,1059.34,2022-03-06
CLM-000045,Structural,11553.91,,
CLM-000048,Contents,1189.31,1318.79,2022-04-09
CLM-000049,Contents,13885.41,15820.84,2022-05-16
CLM-000050,Plumbing,2882.08,3261.86,2022-04-16
CLM-000051,Structural,173890.97,182874.83,2022-04-28
CLM-000052,Roof,1586.66,1472.72,2022-04-19
CLM-000055,Structural,1244.51,1166.59,2022-06-06
CLM-000056,Structural,26277.45,,
CLM-000057,Contents,856.62,814.41,2022-05-24
CLM-000058,Contents,7626.32,8346.99,2022-06-12
CLM-000059,Plumbing,1104.37,,
CLM-000061,Structural,65451.24,72229.39,2022-05-31
CLM-000064,Plumbing,35559.84,35197.24,2022-05-17
CLM-000065,Contents,5658.45,6150.15,2022-07-20
CLM-000066,Structural,5459.63,5108.87,2022-06-08
CLM-000068,Roof,147149.39,172148.96,2022-07-05
CLM-000069,Contents,19849.37,19938.92,2022-07-16
CLM-000070,Electrical,6087.49,6933.9,2022-08-31
CLM-000071,Structural,9292.38,8875.38,2022-09-06
CLM-000072,Roof,4399.25,4011.48,2022-07-31
CLM-000074,Roof,1810.09,1736.82,2022-08-15
CLM-000076,Electrical,4481.89,,
CLM-000077,Electrical,10097.07,,
CLM-000078,Electrical,3938.93,4241.78,2022-08-30
CLM-000079,Electrical,13158.87,12564.83,2022-08-24
CLM-000081,Roof,6242.19,6947.51,2022-09-05
CLM-000082,Roof,1786.5,,
CLM-000083,Roof,2757.33,2692.4,2022-09-03
CLM-000084,Plumbing,2493.62,2362.45,2022-09-23
CLM-000085,Roof,11242.37,12956.33,2022-09-02
CLM-000086,Structural,2169.39,2280.17,2022-09-15
CLM-000087,Structural,16797.83,14937.41,2022-09-30
CLM-000089,Roof,4373.71,5090.21,2022-11-24
CLM-000090,Contents,5960.05,5297.95,2022-10-05
CLM-000091,Roof,11213.75,,
CLM-000093,Contents,61007.39,62012.78,2022-10-26
CLM-000094,Contents,3805.37,4246.17,2022-10-10
CLM-000095,Structural,6498.76,7449.71,2022-10-27
CLM-000096,Electrical,16145.51,15697.36,2022-10-21
CLM-000097,Plumbing,13579.42,15437.85,2022-10-24
CLM-000098,Plumbing,9703.77,10634.61,2022-11-14
CLM-000099,Electrical,2058.93,,
CLM-000101,Structural,13236.26,14973.08,2022-10-31
CLM-000102,Plumbing,2236.05,2062.57,2022-11-27
CLM-000103,Plumbing,2524.12,2470.36,2022-11-29
CLM-000105,Roof,12650.74,13914.01,2022-12-24
CLM-000106,Electrical,3071.51,3543.62,2023-01-09
CLM-000107,Contents,5062.46,5308.98,2022-12-16
CLM-000108,Structural,68971.32,,
CLM-000109,Electrical,2777.21,2586.68,2022-12-28
CLM-000111,Electrical,3027.17,3461.07,2022-12-06
CLM-000112,Electrical,22009.83,25447.98,2022-12-11
CLM-000114,Roof,4192.91,4569.42,2022-11-26
CLM-000115,Electrical,10721.22,11930.87,2022-11-29
CLM-000116,Roof,5490.42,5502.04,2023-01-02
CLM-000117,Electrical,13398.88,14215.0,2022-12-17
CLM-000118,Roof,6063.64,6855.86,2022-12-03
CLM-000119,Roof,6246.85,5526.6,2022-12-26
CLM-000121,Roof,7415.24,8501.2,2023-01-14
CLM-000122,Electrical,8719.38,,
CLM-000123,Plumbing,31069.79,36017.11,2023-02-26
CLM-000124,Roof,9926.87,10198.76,2023-01-12
CLM-000125,Structural,1042.19,,
CLM-000127,Structural,7395.42,6725.86,2023-01-07
CLM-000128,Contents,8425.17,7843.76,2023-01-10
CLM-000129,Structural,5478.46,5282.27,2023-02-11
CLM-000130,Plumbing,3857.98,4033.74,2023-01-28
CLM-000131,Contents,10789.62,11953.25,2023-02-17
CLM-000132,Roof,6402.24,6986.29,2023-03-01
CLM-000134,Roof,2941.77,3435.6,2023-02-14
CLM-000135,Plumbing,2966.32,3035.41,2023-01-14
CLM-000136,Plumbing,9674.33,9712.5,2023-01-28
CLM-000137,Plumbing,10375.57,10460.14,2023-03-16
CLM-000138,Electrical,6327.93,6888.68,2023-01-30
CLM-000139,Roof,4679.02,4915.74,2023-03-06
