claim_id,is_fraud,fraud_indicator_notes
CLM-000001,0.0,"Reviewed, no fraud indicators found"
CLM-000002,1.0,Confirmed fraud indicators found in review
CLM-000003,0.0,"Reviewed, no fraud indicators found"
CLM-000004,,
CLM-000005,1.0,Confirmed fraud indicators found in review
CLM-000006,0.0,"Reviewed, no fraud indicators found"
CLM-000007,0.0,"Reviewed, no fraud indicators found"
CLM-000008,0.0,"Reviewed, no fraud indicators found"
CLM-000009,0.0,"Reviewed, no fraud indicators found"
CLM-000010,,
CLM-000011,0.0,"Reviewed, no fraud indicators found"
CLM-000012,0.0,"Reviewed, no fraud indicators found"
CLM-000013,0.0,"Reviewed, no fraud indicators found"
CLM-000014,0.0,"Reviewed, no fraud indicators found"
CLM-000015,0.0,"Reviewed, no fraud indicators found"
CLM-000016,0.0,"Reviewed, no fraud indicators found"
CLM-000017,0.0,"Reviewed, no fraud indicators found"
CLM-000018,0.0,"Reviewed, no fraud indicators found"
CLM-000019,0.0,"Reviewed, no fraud indicators found"
CLM-000020,0.0,"Reviewed, no fraud indicators found"
CLM-000021,0.0,"Reviewed, no fraud indicators found"
CLM-000022,,
CLM-000023,0.0,"Reviewed, no fraud indicators found"
CLM-000024,0.0,"Reviewed, no fraud indicators found"
CLM-000025,0.0,"Reviewed, no fraud indicators found"
CLM-000026,0.0,"Reviewed, no fraud indicators found"
CLM-000027,0.0,"Reviewed, no fraud indicators found"
CLM-000028,0.0,"Reviewed, no fraud indicators found"
CLM-000029,0.0,"Reviewed, no fraud indicators found"
CLM-000030,0.0,"Reviewed, no fraud indicators found"
CLM-000031,0.0,"Reviewed, no fraud indicators found"
CLM-000032,0.0,"Reviewed, no fraud indicators found"
CLM-000033,0.0,"Reviewed, no fraud indicators found"
CLM-000034,0.0,"Reviewed, no fraud indicators found"
CLM-000035,0.0,"Reviewed, no fraud indicators found"
CLM-000036,0.0,"Reviewed, no fraud indicators found"
CLM-000037,0.0,"Reviewed, no fraud indicators found"
CLM-000038,0.0,"Reviewed, no fraud indicators found"
CLM-000039,1.0,Confirmed fraud indicators found in review
CLM-000040,0.0,"Reviewed, no fraud indicators found"
CLM-000041,0.0,"Reviewed, no fraud indicators found"
CLM-000042,0.0,"Reviewed, no fraud indicators found"
CLM-000043,0.0,"Reviewed, no fraud indicators found"
CLM-000044,0.0,"Reviewed, no fraud indicators found"
CLM-000045,1.0,Confirmed fraud indicators found in review
CLM-000046,0.0,"Reviewed, no fraud indicators found"
CLM-000047,1.0,Confirmed fraud indicators found in review
CLM-000048,0.0,"Reviewed, no fraud indicators found"
CLM-000049,0.0,"Reviewed, no fraud indicators found"
CLM-000050,0.0,"Reviewed, no fraud indicators found"
CLM-000051,0.0,"Reviewed, no fraud indicators found"
CLM-000052,1.0,Confirmed fraud indicators found in review
CLM-000053,0.0,"Reviewed, no fraud indicators found"
CLM-000054,0.0,"Reviewed, no fraud indicators found"
CLM-000055,0.0,"Reviewed, no fraud indicators found"
CLM-000056,0.0,"Reviewed, no fraud indicators found"
CLM-000057,0.0,"Reviewed, no fraud indicators found"
CLM-000058,0.0,"Reviewed, no fraud indicators found"
CLM-000059,0.0,"Reviewed, no fraud indicators found"
CLM-000060,0.0,"Reviewed, no fraud indicators found"
CLM-000061,0.0,"Reviewed, no fraud indicators found"
CLM-000062,0.0,"Reviewed, no fraud indicators found"
CLM-000063,0.0,"Reviewed, no fraud indicators found"
CLM-000064,0.0,"Reviewed, no fraud indicators found"
CLM-000065,0.0,"Reviewed, no fraud indicators found"
CLM-000066,0.0,"Reviewed, no fraud indicators found"
CLM-000067,0.0,"Reviewed, no fraud indicators found"
CLM-000068,0.0,"Reviewed, no fraud indicators found"
CLM-000069,0.0,"Reviewed, no fraud indicators found"
CLM-000070,0.0,"Reviewed, no fraud indicators found"
CLM-000071,0.0,"Reviewed, no fraud indicators found"
CLM-000072,0.0,"Reviewed, no fraud indicators found"
CLM-000073,0.0,"Reviewed, no fraud indicators found"
CLM-000074,0.0,"Reviewed, no fraud indicators found"
CLM-000075,,
CLM-000076,0.0,"Reviewed, no fraud indicators found"
CLM-000077,0.0,"Reviewed, no fraud indicators found"
CLM-000078,0.0,"Reviewed, no fraud indicators found"
CLM-000079,0.0,"Reviewed, no fraud indicators found"
CLM-000080,1.0,Confirmed fraud indicators found in review
CLM-000081,0.0,"Reviewed, no fraud indicators found"
