claim_id,evaluation_date,development_month,reserve_estimate,cumulative_paid
CLM-000001,2021-04-20,1,3634.62,1076.47
CLM-000001,2021-05-20,2,1647.88,1868.89
CLM-000001,2021-06-19,3,2681.26,3003.95
CLM-000002,2021-05-28,1,49.77,97.22
CLM-000003,2021-06-19,1,2994.08,1290.23
CLM-000004,2021-06-29,1,1253.11,3028.92
CLM-000004,2021-07-29,2,9738.31,6252.19
CLM-000005,2021-07-06,1,4923.31,1665.71
CLM-000006,2021-07-28,1,2487.42,1122.38
CLM-000007,2021-08-14,1,384.19,842.54
CLM-000008,2021-08-21,1,420.84,137.74
CLM-000009,2021-08-16,1,24776.55,13833.51
CLM-000010,2021-08-23,1,5077.53,1093.46
CLM-000010,2021-09-22,2,1644.92,2340.16
CLM-000010,2021-10-22,3,3895.93,3422.64
CLM-000011,2021-09-03,1,308.07,667.87
CLM-000012,2021-09-01,1,3002.83,1453.92
CLM-000013,2021-08-31,1,329.21,164.66
CLM-000014,2021-09-26,1,348.21,761.18
CLM-000015,2021-09-26,1,4447.16,2376.5
CLM-000016,2021-09-28,1,787.49,1240.53
CLM-000017,2021-10-22,1,1908.15,864.82
CLM-000017,2021-11-21,2,1180.81,1553.31
CLM-000018,2021-10-28,1,691.54,744.71
CLM-000018,2021-11-27,2,1152.74,1518.79
CLM-000019,2021-11-03,1,2953.04,1411.51
CLM-000020,2021-10-29,1,487.61,1108.74
CLM-000020,2021-11-28,2,2590.1,2338.43
CLM-000021,2021-11-03,1,301.03,380.38
CLM-000022,2021-10-26,1,3299.44,0.0
CLM-000022,2021-11-25,2,9110.75,0.0
CLM-000022,2021-12-25,3,8139.04,6419.06
CLM-000022,2022-01-24,4,10690.36,9137.9
CLM-000022,2022-02-23,5,9336.28,11125.31
CLM-000022,2022-03-25,6,14938.32,13820.61
CLM-000022,2022-04-24,7,15514.55,16377.97
CLM-000022,2022-05-24,8,19411.56,17675.38
CLM-000022,2022-06-23,9,18990.59,16754.67
CLM-000022,2022-07-23,10,18848.54,16707.7
CLM-000022,2022-08-22,11,18489.84,17420.48
CLM-000022,2022-09-21,12,19054.7,17699.75
CLM-000022,2022-10-21,13,18115.31,16175.57
CLM-000022,2022-11-20,14,19244.2,16852.39
CLM-000022,2022-12-20,15,18929.72,18454.55
CLM-000022,2023-01-19,16,18594.35,16382.66
CLM-000022,2023-02-18,17,18570.66,16742.71
CLM-000022,2023-03-20,18,18655.63,16412.33
CLM-000022,2023-04-19,19,18781.28,17974.0
CLM-000022,2023-05-19,20,19298.1,17969.11
CLM-000022,2023-06-18,21,18775.29,18604.2
CLM-000022,2023-07-18,22,18439.47,17484.19
CLM-000022,2023-08-17,23,18785.59,17280.54
CLM-000022,2023-09-16,24,18807.12,17933.33
CLM-000023,2021-11-04,1,238.03,582.75
CLM-000024,2021-11-11,1,705.81,1598.1
CLM-000025,2021-11-28,1,4201.83,1751.19
CLM-000026,2021-12-04,1,519.36,459.55
CLM-000027,2021-12-01,1,543.29,344.28
CLM-000027,2021-12-31,2,663.94,686.15
CLM-000028,2021-12-07,1,6947.9,4057.48
CLM-000028,2022-01-06,2,11459.99,8988.71
CLM-000029,2021-12-27,1,4024.84,1682.46
CLM-000029,2022-01-26,2,5121.07,3443.03
CLM-000029,2022-02-25,3,7159.7,5701.15
CLM-000030,2022-01-06,1,239.01,527.31
CLM-000031,2022-01-05,1,150.24,77.21
CLM-000032,2022-01-06,1,4248.16,4636.01
CLM-000032,2022-02-05,2,17663.76,9480.9
CLM-000033,2022-01-10,1,672.32,1660.85
CLM-000034,2022-01-13,1,2929.79,1029.25
CLM-000035,2022-01-20,1,943.48,562.68
CLM-000036,2022-01-17,1,985.7,620.41
CLM-000036,2022-02-16,2,1500.66,1115.97
CLM-000037,2022-02-02,1,229.38,523.71
CLM-000038,2022-01-30,1,777.43,416.92
CLM-000039,2022-02-17,1,114.3,223.76
CLM-000039,2022-03-19,2,731.06,438.01
CLM-000040,2022-03-06,1,756.7,370.25
CLM-000041,2022-03-02,1,2076.71,1003.09
CLM-000042,2022-03-07,1,269.81,191.65
CLM-000043,2022-03-27,1,123.41,283.46
CLM-000043,2022-04-26,2,1092.63,573.43
CLM-000044,2022-03-29,1,367.67,896.59
CLM-000044,2022-04-28,2,2991.68,1745.52
CLM-000045,2022-03-24,1,3652.51,0.0
CLM-000045,2022-04-23,2,514.08,0.0
CLM-000045,2022-05-23,3,5899.83,3303.46
CLM-000045,2022-06-22,4,5755.97,4594.1
CLM-000045,2022-07-22,5,5859.3,5497.0
CLM-000045,2022-08-21,6,7529.69,7068.84
CLM-000045,2022-09-20,7,9190.19,7747.93
CLM-000045,2022-10-20,8,10330.25,8941.17
CLM-000045,2022-11-19,9,10094.41,9288.18
CLM-000045,2022-12-19,10,10275.71,9871.96
CLM-000045,2023-01-18,11,10191.24,9190.53
CLM-000045,2023-02-17,12,10175.31,9853.5
CLM-000045,2023-03-19,13,10201.21,9399.8
CLM-000045,2023-04-18,14,10386.11,8886.27
CLM-000045,2023-05-18,15,10028.08,9402.96
CLM-000045,2023-06-17,16,10313.12,10248.15
CLM-000045,2023-07-17,17,10184.64,9200.11
CLM-000045,2023-08-16,18,9839.08,10269.26
CLM-000045,2023-09-15,19,10170.45,10190.48
CLM-000045,2023-10-15,20,10203.53,9181.9
CLM-000045,2023-11-14,21,10235.66,9318.92
CLM-000045,2023-12-14,22,10390.1,9974.81
CLM-000045,2024-01-13,23,10436.35,10079.85
CLM-000045,2024-02-12,24,10252.0,8771.96
CLM-000046,2022-03-26,1,2106.57,5031.06
CLM-000046,2022-04-25,2,14202.1,8960.27
CLM-000047,2022-04-03,1,139.35,306.36
CLM-000048,2022-04-18,1,109.96,107.91
CLM-000049,2022-04-25,1,6122.46,1970.77
CLM-000049,2022-05-25,2,2731.41,4400.15
CLM-000050,2022-04-28,1,137.12,309.12
CLM-000051,2022-05-02,1,16054.96,18340.5
CLM-000052,2022-04-29,1,75.75,161.15
CLM-000053,2022-05-09,1,418.23,912.1
CLM-000054,2022-05-15,1,230.93,139.34
CLM-000054,2022-06-14,2,673.08,243.69
CLM-000055,2022-05-15,1,71.65,167.07
CLM-000055,2022-06-14,2,71.65,349.01
CLM-000056,2022-05-18,1,6807.79,0.0
CLM-000056,2022-06-17,2,7298.61,0.0
CLM-000056,2022-07-17,3,8306.98,7735.89
CLM-000056,2022-08-16,4,10682.39,9676.69
CLM-000056,2022-09-15,5,13559.62,13456.82
CLM-000056,2022-10-15,6,16831.69,14855.25
CLM-000056,2022-11-14,7,20185.74,16845.25
CLM-000056,2022-12-14,8,21744.35,20717.13
