period,gross_written_premium,earned_premium,incurred_losses,loss_adjustment_expenses,policyholder_surplus
2021Q1,9693270.17,9423193.42,5536066.03,642120.41,43947004.19
2021Q2,9866575.47,9426882.18,5813546.45,642225.53,45729670.3
2021Q3,10076116.38,9459610.96,5699863.36,658416.26,47590469.11
2021Q4,10271533.82,9668788.14,6452763.44,683212.93,49110156.16
2022Q1,10488008.46,9652290.71,5799260.82,764503.42,50963272.05
2022Q2,10706989.06,10194460.02,5390458.44,600756.19,53485219.29
2022Q3,10804085.25,10086589.04,5813201.68,794928.25,55572294.75
2022Q4,10957937.54,10435375.38,6133748.46,795785.42,57675799.66
2023Q1,11130151.47,10837489.13,5947688.79,726604.87,60173716.94
2023Q2,11379488.42,10474957.73,6054359.49,628637.89,62448893.15
2023Q3,11550064.05,10813152.79,7268804.85,951325.23,64004706.77
2023Q4,11812607.73,10889980.69,6096782.54,667214.17,66480297.16
2024Q1,11911953.75,11148891.01,6680916.2,719524.55,68729367.32
2024Q2,12009986.64,11499458.91,6500672.09,858946.76,71213271.36
2024Q3,12165445.45,11402703.03,6074780.85,793675.4,73933819.42
2024Q4,12425902.53,11868491.43,6685402.52,668632.3,76642493.38
2025Q1,12696583.39,12216500.33,7562924.0,848111.17,78925772.47
2025Q2,12934119.91,12588889.46,7647366.1,832860.64,81390970.1
2025Q3,13298849.58,12817077.78,8686627.22,1211988.65,83142047.24
2025Q4,13512930.2,12876947.71,6714291.01,843058.27,86333806.3
2026Q1,13859402.22,13266794.01,8380178.2,841341.99,88760970.59
2026Q2,14028932.75,13277542.48,8594078.5,1149291.69,90881473.96
2026Q3,14211274.03,13832172.23,44540208.26,5232963.83,69316874.04
